title,link,current_price,original_price,discount_percentage,ratings,reviews
"Sony WI-XB400 Wireless Extra Bass in-Ear Headphones with 15 Hours Battery Life, Quick Charge, Magnetic Earbuds, Tangle Free Cord, Bluetooth Ver 5.0, Headset with Mic for Phone Calls – (Blue)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A07302801KDDEYBG3LV0M&url=%2FSony-WI-XB400-Wireless-Bluetooth-Headphones%2Fdp%2FB07WTX73MB%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036826%26sr%3D8-38-spons%26psc%3D1&qualifier=1620036826&id=6970539241222582&widgetName=sp_btf,3149.0,4990.0,36.8937875751503,4.1,15178
OnePlus Buds (Nord Blue),https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A07738673UXJX8P5C13HK&url=%2FOnePlus-E501A-Buds-Nord-Blue%2Fdp%2FB08CVMVW3X%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036832%26sr%3D8-33-spons%26psc%3D1&qualifier=1620036832&id=8555084626676179&widgetName=sp_atf_next,4499.0,4990.0,9.839679358717435,3.9,12252
"Mivi Collar 2B Wireless Earphones, Bluetooth Earphones with mic, Fast Charging, Powerful Bass, HD Sound and Made in India Neckband - Green",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A05428301U0UNY6OUNAN3&url=%2FMivi-Wireless-Earphones-Bluetooth-Charging%2Fdp%2FB08RX977D8%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036832%26sr%3D8-34-spons%26psc%3D1&qualifier=1620036832&id=8555084626676179&widgetName=sp_atf_next,899.0,2999.0,70.02334111370457,3.9,2635
"pTron Bassfest Plus Magnetic in-Ear Bluetooth 5.0 Wireless Headphones, Stereo Sound with Bass, IPX4 Water & Sweat Resistant, Voice Assistance, Ergonomic & Lightweight, Built-in Mic - (Black & Red)",https://www.amazon.in/Bassfest-Plus-Headphones-Assistance-Lightweight/dp/B08HKYKDS8/ref=sr_1_35?dchild=1&keywords=earphones+wireless&qid=1620036832&sr=8-35,499.0,1299.0,61.585835257890686,3.9,455
OnePlus Bullets Wireless Z in-Ear Bluetooth Earphones with Mic (Mint),https://www.amazon.in/OnePlus-Bullets-Wireless-Bluetooth-Earphones/dp/B087VNBXP5/ref=sr_1_36?dchild=1&keywords=earphones+wireless&qid=1620036832&sr=8-36,1999.0,2190.0,8.721461187214611,4.3,106597
boAt Airdopes 281 Bluetooth Truly Wireless Earbuds with Mic(Furious Blue),https://www.amazon.in/Airdopes-281-Bluetooth-Immersive-Resistance/dp/B084DRKGZ3/ref=sr_1_37?dchild=1&keywords=earphones+wireless&qid=1620036832&sr=8-37,1699.0,4999.0,66.0132026405281,3.9,7393
"Boult Audio ProBass Curve Bluetooth Neckband, in-Ear Wireless Earphones with 12 Hour Battery Life, Fast Charging & in-Built Mic, IPX5 Sweatproof Headphones (Blue)",https://www.amazon.in/Boult-Audio-Curve-Sweatproof-Headphones/dp/B07MK2H78S/ref=sr_1_38?dchild=1&keywords=earphones+wireless&qid=1620036832&sr=8-38,899.0,4499.0,80.01778172927317,3.8,59142
"boAt 100 Wireless On-Neck Bluetooth V5.0 Earphones with Flexible & Lightweight Design,Upto 30 Hours Battery Time, IPX 4 Sweat and Water Resistance & Integrated Controls with in-Built mic(Active Black)",https://www.amazon.in/100-Wireless-Lightweight-Resistance-Integrated/dp/B07T9MZJJC/ref=sr_1_39?dchild=1&keywords=earphones+wireless&qid=1620036832&sr=8-39,1199.0,2999.0,60.02000666888962,3.9,2774
Redmi SonicBass Wireless Earphones Black,https://www.amazon.in/Redmi-SonicBass-Wireless-Earphones-Black/dp/B08Y1CZSFM/ref=sr_1_40?dchild=1&keywords=earphones+wireless&qid=1620036832&sr=8-40,1299.0,1599.0,18.76172607879925,4.4,70
"ROCK LYFE Combo of Wireless Neckband Bluetooth Earphone with P20BT Earphone, Super Sound Deep Bass with Mic, Noise Cancellation Headset for Apple Devices and All Smartphone",https://www.amazon.in/ROCK-LYFE-Bluetooth-Cancellation-Smartphone/dp/B08XMZG7XS/ref=sr_1_41?dchild=1&keywords=earphones+wireless&qid=1620036832&sr=8-41,419.0,999.0,58.05805805805806,4.0,239
