title,duration,link,genre,description
Villain,2 hr 9 min,https://www.hotstar.com/in/movies/villain/1000055391,"Thriller, Telugu, 2010","Villain (2010) is a Telugu epic drama directed by Mani Ratnam. Starring Vikram, Aishwarya Rai, and P ..."
Lockdown Horror- Buddy,5 min,https://www.hotstar.com/in/movies/lockdown-horror-buddy/1834030368,"Thriller, Hindi, 2020","A city under lockdown, a cry for help. Will he make it, will she?"
Boomerang,1 hr 53 min,https://www.hotstar.com/in/movies/boomerang/1260009973,"Thriller, Hindi, 2019",A young man has to undergo a face transplant after being gravely injured in a fire accident. But soo ...
Ajnabee,2 hr 22 min,https://www.hotstar.com/in/movies/ajnabee/1000212813,"Thriller, Hindi, 2001",Raj and Priya befriend their neighbours Vikram and Sonia in Switzerland. When Sonia is found dead a ...
Zoya,34 min,https://www.hotstar.com/in/movies/zoya/1826027815,"Thriller, Hindi, 2020",One Night Inspector Parvez Khan confess something to his wife.So she hit him with a frozen big leg o ...
Panchapakesan Devasagayam,53 min,https://www.hotstar.com/in/movies/panchapakesan-devasagayam/1000071408,"Thriller, Tamil, 2015","Panchapakesan Devasagayam may be an eccentric fellow, but he sure knows how to solve the recurring m ..."
Neeyat,2 min,https://www.hotstar.com/in/movies/neeyat/1808017180,"Thriller, Hindi, 2019",A young girl travelling alone by local at night is followed by a strange man. Watch this award-winni ...
Good Luck,44 min,https://www.hotstar.com/in/movies/good-luck/1000210995,"Thriller, Hindi, 2018","It's about a salesman named Peter, who goes door-to-door to sell ‘Good Luck’. Will he find any buyer ..."
Kabir,1 hr 44 min,https://www.hotstar.com/in/movies/kabir/1000216355,"Thriller, Bengali, 2018","Yasmin meets Kabir, a photographer on a train journey. Friendly at first, she soon realises how dang ..."
Makkhi,1 hr 58 min,https://www.hotstar.com/in/movies/makkhi/1000004429,"Thriller, Hindi, 2012","When Nani is murdered by a rich businessman, Sudeep, he reincarnates in a unique form to protect his ..."
Tamizhuku En Ondrai Azhuthavum,2 hr 14 min,https://www.hotstar.com/in/movies/tamizhuku-en-ondrai-azhuthavum/1000072031,"Thriller, Tamil, 2015",The lives of four people cross paths when a deadly bomb threatens to wipe out Chennai. Will they be ...
Ghayal Khiladi,2 hr 19 min,https://www.hotstar.com/in/movies/ghayal-khiladi/1000229610,"Thriller, Hindi, 2018","On learning that the company he is employed at is selling adulterated food products, good Samaritan ..."
Dum Maaro Dum,2 hr 1 min,https://www.hotstar.com/in/movies/dum-maaro-dum/1000004427,"Thriller, Hindi, 2011","When Lorry's girlfriend gets a US scholarship, he begins smuggling drugs. Soon he finds himself stuc ..."
Cash,2 hr 12 min,https://www.hotstar.com/in/movies/cash/1000065772,"Thriller, Hindi, 2007","Thieves, gangsters, and the police cross each others' paths while in hunt for a precious diamond."
MAYA,23 min,https://www.hotstar.com/in/movies/maya/1808053173,"Thriller, Marathi, 2020",Asmita is unhappy in marriage and wants to become rich & enjoy life. She becomes companion of a enig ...
Naina,1 hr 42 min,https://www.hotstar.com/in/movies/naina/1000193849,"Thriller, Hindi, 2005","After a fatal accident, Naina loses her eyesight and has to go through a corneal transplant, which r ..."
Malini 22 Palayamkottai,2 hr,https://www.hotstar.com/in/movies/malini-22-palayamkottai/1000057733,"Thriller, Tamil, 2014",Varun helps nurse Malini with some legal formalities. They fall in love and begin living together un ...
I'm Home,9 min,https://www.hotstar.com/in/movies/im-home/1000122830,"Thriller, Hindi, 2018","From expecting their first child to a new home, there's much to celebrate for Sameer and Pooja. What ..."
Lockdown Horror- Loser,6 min,https://www.hotstar.com/in/movies/lockdown-horror-loser/1834047166,"Thriller, Hindi, 2021",A young man living with a negative roommate is driven to take a drastic step
Drive,22 min,https://www.hotstar.com/in/movies/drive/1826040414,"Thriller, Hindi, 2018",DRIVE is an on-road conversational thriller between two strangers whose lives intersect on a quiet n ...
Naalo Okkadu,2 hr 4 min,https://www.hotstar.com/in/movies/naalo-okkadu/1000158765,"Thriller, Telugu, 2015","Naalo Okkadu is a Telugu thriller. Directed by Prasad Ramar, it stars Siddharth, Deepa Sannidhi and ..."
Guptodhoner Sondhane,2 hr 5 min,https://www.hotstar.com/in/movies/guptodhoner-sondhane/1000230104,"Thriller, Bengali, 2018","At their ancestral mansion in Manikantapur, Sona da and his nephew Abir set out to find a 350-year-o ..."
Numen,6 min,https://www.hotstar.com/in/movies/numen/1835049719,"Thriller, English, 2020",The eternal struggle between the forces of good & evil as they try to triumph one another remains th ...
Khiladiyon Ka Khiladi,2 hr 33 min,https://www.hotstar.com/in/movies/khiladiyon-ka-khiladi/1000101397,"Thriller, Hindi, 1996","While looking for his brother, Akshay joins Madam Maya’s gang and wins her confidence. But, will thi ..."
Onaayum Aattukkuttiyum,2 hr 17 min,https://www.hotstar.com/in/movies/onaayum-aattukkuttiyum/1000035945,"Thriller, Tamil, 2013","Chandru, a medical student, unknowingly helps a dying fugitive. Now, cops have begun chasing the esc ..."
Nishyabda 2,1 hr 42 min,https://www.hotstar.com/in/movies/nishyabda-2/1000231727,"Thriller, Hindi, 2018","Three robbers try to dupe a visually impaired veteran, unaware of the horrors that await them."
Drushti,,https://www.hotstar.com/in/tv/drushti/1260028527,"Thriller, Star Suvarna","The happy Rathod family gets entangled in the clutches of an evil witch. With lives at stake, will t ..."
I Am Fine,24 min,https://www.hotstar.com/in/movies/i-am-fine/1610049226,"Thriller, Hindi, 2019",A gripping psychological thriller. Can you believe what you see? What if nobody understands you? Whe ...
Krishna,2 hr 20 min,https://www.hotstar.com/in/movies/krishna/1000100280,"Thriller, Hindi, 1996",Krishna is released from prison after serving sentence for a crime he did not commit. He sets out to ...
8 Thottakal,2 hr 7 min,https://www.hotstar.com/in/movies/8-thottakal/1000216064,"Thriller, Hindi, 2017","Sathya, an honest cop, accidentally loses his loaded service pistol. When Murthy, a suspended consta ..."
Burma,1 hr 34 min,https://www.hotstar.com/in/movies/burma/1000066953,"Thriller, Tamil, 2014",Paramanandham aka Burma is a car thief. Everything is going great in his life until one particular c ...
Moonlight,14 min,https://www.hotstar.com/in/movies/moonlight/1808044938,"Thriller, Hindi, 2020","A novelist, her assistant & a police inspector together write a perfect murder mystery. But in reali ..."
Bedhab,37 min,https://www.hotstar.com/in/movies/bedhab/1826023664,"Thriller, Hindi, 2019","A rich ill mannered smoker is visited by a modern age God Of Death, will he find a way out or will h ..."
24,2 hr 37 min,https://www.hotstar.com/in/movies/24/1770004244,"Thriller, Science Fiction, Telugu, 2016","A scientist invents a time-machine, which his evil twin brother intends to usurp. He gives the inven ..."
The Last Photograph,5 min,https://www.hotstar.com/in/movies/the-last-photograph/1836045032,"Thriller, Hindi, 2019","An Old Man, uses a system of photographs to remember his visitors. When one of his visitors goes mis ..."
Bagh Bandi Khela,2 hr 27 min,https://www.hotstar.com/in/movies/bagh-bandi-khela/1000226667,"Thriller, Bengali, 2018","Three stories revolving around three individuals - an undercover spy, a witness to a murder and a cr ..."
The Last Call,10 min,https://www.hotstar.com/in/movies/the-last-call/1610010308,"Thriller, Hindi, 2018",A husband gets a call from a stranger regarding his wife’s kidnapping. What he will do? Save his wif ...
Thaazhampoo,,https://www.hotstar.com/in/tv/thaazhampoo/1260011849,"Thriller, Star Vijay","To save Nagalogam from a curse, Naga must bring back Aathmalingam from Earth. What will happen when ..."
The Door,10 min,https://www.hotstar.com/in/movies/the-door/1808028786,"Thriller, Hindi, 2018",An aspiring writer is called by a famous mystery novelist to assist her. Suddenly the events take a ...
Lion Shiva,1 hr 29 min,https://www.hotstar.com/in/movies/lion-shiva/1000226102,"Thriller, Hindi, 2016","Suffering from tunnel vision, Ravi witnesses a murder. On realising that he can't afford to cure his ..."
Yakeen,10 min,https://www.hotstar.com/in/movies/yakeen/1808042963,"Thriller, Hindi, 2017",A man meets a psychiatrist and tells him that he has killed someone. But he can’t recall whom he has ...
Aetbaar,1 hr 50 min,https://www.hotstar.com/in/movies/aetbaar/1000194287,"Thriller, Hindi, 2004","Dr Ranveer is very protective of his daughter, Ria. When an obsessive man falls in love with her, he ..."
Ganesh Vasanth,1 hr 7 min,https://www.hotstar.com/in/movies/ganesh-vasanth/1000070745,"Thriller, Tamil, 2015",Ganesh Vasanth is the next offering from Vijay Chithiram. Popular detectives Ganesh and Vasanth from ...
Baggage,1 hr 1 min,https://www.hotstar.com/in/movies/baggage/1610046342,"Thriller, Hindi, 2019",Sara - who has lost her twin sister to a mysterious vanishing - is trying to come to grips with her ...
Kanupapa,2 hr 14 min,https://www.hotstar.com/in/movies/kanupapa/1000188983,"Thriller, Telugu, 2017",Kanupapa is a Telugu language crime drama thriller. It is a dubbed version of the Malayalam original ...
The Intruder,17 min,https://www.hotstar.com/in/movies/the-intruder/1260043839,"Thriller, Hindi, 2020","One fateful night Dhruv loses everything he loved. With no recollection of the night, can he find ou ..."
Dum Dum Dumroo,11 min,https://www.hotstar.com/in/movies/dum-dum-dumroo/1826023599,"Thriller, Hindi, 2018",A peon scares a newly joined doctor at a hospital
Nishiraater Haatchani,,https://www.hotstar.com/in/tv/nishiraater-haatchani/1260001029,"Thriller, Star Jalsha","When an evil Tantrik named Kaalasur, curses a family, Gauri and Raj take it upon themselves to free ..."
Girl in Red,17 min,https://www.hotstar.com/in/movies/girl-in-red/1610002787,"Thriller, Hindi, 2017","A mystery writer struggling with writer’s block, a garbage collector who knows too much and an enigm ..."
Vazhakku Enn 18/9,2 hr 2 min,https://www.hotstar.com/in/movies/vazhakku-enn-189/1000035949,"Thriller, Tamil, 2012","Dinesh makes an MMS clip of Aarti's private moments. However, he plans an acid attack on her when sh ..."
Athiran,2 hr 9 min,https://www.hotstar.com/in/movies/athiran/1260009640,"Thriller, Malayalam, 2019","Kannan Nair, a psychiatrist, is tasked with inspecting a mysterious hospital. However, once there, h ..."
First Sin,17 min,https://www.hotstar.com/in/movies/first-sin/1610016678,"Thriller, Hindi, 2018","What would you do if you unexpectedly obtain magical powers? One morning, Ashwath, a failed business ..."
Arjun Pandit,2 hr 19 min,https://www.hotstar.com/in/movies/arjun-pandit/1000101400,"Thriller, Hindi, 1999",Arjun keeps mum on a crime he witnessed. He falls in love with Nisha. But when he finds himself betr ...
Vaada,2 hr,https://www.hotstar.com/in/movies/vaada/1000101758,"Thriller, Hindi, 2005","Pooja ends her relationship with an obsessive Karan. Fate brings them together years later, but she ..."
Pinjra,10 min,https://www.hotstar.com/in/movies/pinjra/1260038562,"Thriller, Hindi, 2015",Monu and Vivek's innocent quest for mangoes turns into a horrible tragedy when they end up killing s ...
Tulasidalam,,https://www.hotstar.com/in/tv/tulasidalam/15268,"Thriller, Star Maa","Tulasidalam is a Telugu thriller show on Star Maa. After eight years, Sharath finally has a daughter ..."
Andha Oru Nimidam,1 hr 30 min,https://www.hotstar.com/in/movies/andha-oru-nimidam/1000070128,"Thriller, Tamil, 2015","Andha Oru Nimidam, the next movie in line from Vijay Chithiram, is a spine-tingling crime thriller a ..."
Raqeeb,1 hr 54 min,https://www.hotstar.com/in/movies/raqeeb/1000019465,"Thriller, Hindi, 2007","Femme fatale Sophie charms men and then kills them for their money. When she traps Remo, his cousin ..."
Ankahee,2 hr 27 min,https://www.hotstar.com/in/movies/ankahee/1000212873,"Thriller, Hindi, 2006",Dr Shekhar is happily married to Nandita. Trouble creeps in their paradise when he falls for an over ...
Byomkesh Gowtro,2 hr 5 min,https://www.hotstar.com/in/movies/byomkesh-gowtro/1000229795,"Thriller, Bengali, 2018","Fearing for his life, a young and rich womaniser approaches Byomkesh Bakshi. When he is found dead l ..."
Samskara,11 min,https://www.hotstar.com/in/movies/samskara/1808018654,"Thriller, Hindi, 2018","What happens when Abhimanyu realizes that he has now become the man he hated the most, his father. A ..."
Yaraana,2 hr 3 min,https://www.hotstar.com/in/movies/yaraana/1000193085,"Thriller, Hindi, 1995","Forced to marry a psychopath, Lalita escapes from his clutches on her wedding day. However, the past ..."
Anamika,2 hr,https://www.hotstar.com/in/movies/anamika/1000050634,"Thriller, Hindi, 2008","Jia, an escort marries the rich Vikram Aditya Singh and comes to his house only to witness some myst ..."
