name,cottage_id,cottage_image,bedrooms,sleeps,rating,price
Large holiday let with pool nr Bergerac, AT005397,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT005397/index.htm,Bedrooms 5, Sleeps 12,9.4/10,£2000 to £2600 pw
Holiday cottage rental Brittany coast 10 mins, BM000892_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM000892_C/index.htm,Bedrooms 3, Sleeps 4,10/10,£350 to £575 pw
Traditional gite to let in rural Normandy, NO004980,https://www.holidayfrancedirect.co.uk/holiday-rentals/NO004980/index.htm,Bedrooms 2, Sleeps 6,10/10,£300 to £550 pw
Beautiful gite to let with a pool in Vienne, PV007677_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/PV007677_A/index.htm,Bedrooms 6, Sleeps 12,12,£450 to £950 pw
Lovely two bed gite to let in Charente, PC007189,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC007189/index.htm,Bedrooms 2, Sleeps 4,4,£420 to £700 pw
Lovely Gite close to the Gironde and Coast, PM005665,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM005665/index.htm,Bedrooms 3, Sleeps 6,10/10,£725 to £1195 pw
Cosy holiday cottage in rural setting, Indre ,https://www.holidayfrancedirect.co.uk/holiday-rentals/VE004547/index.htm,Bedrooms 2, Sleeps 4,9.7/10,£350 to £390 pw
Gite to let in Normandy/Pays de Loire, LS005012,https://www.holidayfrancedirect.co.uk/holiday-rentals/LS005012/index.htm,Bedrooms 4, Sleeps 9,9,£700 pw
Lovely holiday let with a pool in Macqueville, PM007707,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM007707/index.htm,Bedrooms 6, Sleeps 12,12,£700 to £2800 pw
Large house with pool to let in Dordogne, AD007593,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007593/index.htm,Bedrooms 5, Sleeps 11,11,£3545 to £3975 pw
"Pretty Holiday Barn Conversion & pool, Cersay", PS007241,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS007241/index.htm,Bedrooms 2, Sleeps 5,5,£595 to £750 pw
Holiday cottages to let in Normandy, NO007232,https://www.holidayfrancedirect.co.uk/holiday-rentals/NO007232/index.htm,Bedrooms 3, Sleeps 6,6,£536 to £902 pw
Holiday gite in rural Normandy Manche, NM006168,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM006168/index.htm,Bedrooms 2, Sleeps 6,9.8/10,£595 to £650 pw
Gite for holiday rental in Brittany, BM003311,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM003311/index.htm,Bedrooms 5, Sleeps 12,8.6/10,£900 to £1850 pw
Holiday cottage & pool to let nr Pont,Aven ,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF002047_E/index.htm,Bedrooms 3, Sleeps 6,9.9/10,£425 to £1225 pw
Spacious gite to let in rural Normandy Manche, NM005963,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM005963/index.htm,Bedrooms 3, Sleeps 6,8.1/10,£350 to £550 pw
Spacious holiday gite shared pool near Auch, MG006558,https://www.holidayfrancedirect.co.uk/holiday-rentals/MG006558/index.htm,Bedrooms 2, Sleeps 5,5,£460 to £760 pw
Holiday Gite with pools in Dordogne village, AD005888,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD005888/index.htm,Bedrooms 2, Sleeps 4,4,£405 to £1160 pw
Coastal holiday let nr Caen & Cherbourg, NC004833,https://www.holidayfrancedirect.co.uk/holiday-rentals/NC004833/index.htm,Bedrooms 2, Sleeps 4,10/10,£490 to £770 pw
Lovely Holiday Gite to let in Southern Vendee, LV006948,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV006948/index.htm,Bedrooms 2, Sleeps 4,4,£380 to £705 pw
